# Full-ISA Z80N golden vectors from the Spectrum Next FPGA Z80N core (HDL simulation of the core source).
# fmt: opcodehex AF BC DE HL IX IY memHL memDE | (post) AF BC DE HL IX IY memHL memDE  name
99 00FF 0102 8001 4123 00FF 0001 00 00 | FDBB 0102 8001 4123 00FF 0001 00 00 SBC_A_C
99 FF28 FF7F 1020 8001 BEEF 1357 00 00 | 8082 FF7F 1020 8001 BEEF 1357 00 00 SBC_A_C
99 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | FBAB 8040 AA55 FFFF 0F0F 8080 00 00 SBC_A_C
99 8055 0F10 7F80 0001 1234 4321 00 00 | 6F3E 0F10 7F80 0001 1234 4321 00 00 SBC_A_C
99 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 1F0B C0F0 3CC3 00FF F00F 0FF0 00 00 SBC_A_C
99 1093 55AA 2710 7FFF 8000 00C0 00 00 | 6533 55AA 2710 7FFF 8000 00C0 00 00 SBC_A_C
9A 0000 0001 0408 1234 5678 C0DE 00 00 | FCBB 0001 0408 1234 5678 C0DE 00 00 SBC_A_D
9A 00FF 0102 8001 4123 00FF 0001 00 00 | 7F3B 0102 8001 4123 00FF 0001 00 00 SBC_A_D
9A FF28 FF7F 1020 8001 BEEF 1357 00 00 | EFAA FF7F 1020 8001 BEEF 1357 00 00 SBC_A_D
9A 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 9187 8040 AA55 FFFF 0F0F 8080 00 00 SBC_A_D
9A 8055 0F10 7F80 0001 1234 4321 00 00 | 0056 0F10 7F80 0001 1234 4321 00 00 SBC_A_D
9A 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | D383 C0F0 3CC3 00FF F00F 0FF0 00 00 SBC_A_D
9A 1093 55AA 2710 7FFF 8000 00C0 00 00 | E8BB 55AA 2710 7FFF 8000 00C0 00 00 SBC_A_D
9B 0000 0001 0408 1234 5678 C0DE 00 00 | F8BB 0001 0408 1234 5678 C0DE 00 00 SBC_A_E
9B 00FF 0102 8001 4123 00FF 0001 00 00 | FEBB 0102 8001 4123 00FF 0001 00 00 SBC_A_E
9B FF28 FF7F 1020 8001 BEEF 1357 00 00 | DF8A FF7F 1020 8001 BEEF 1357 00 00 SBC_A_E
9B 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | E6A3 8040 AA55 FFFF 0F0F 8080 00 00 SBC_A_E
9B 8055 0F10 7F80 0001 1234 4321 00 00 | FFBB 0F10 7F80 0001 1234 4321 00 00 SBC_A_E
9B 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 4C0B C0F0 3CC3 00FF F00F 0FF0 00 00 SBC_A_E
9B 1093 55AA 2710 7FFF 8000 00C0 00 00 | FFBB 55AA 2710 7FFF 8000 00C0 00 00 SBC_A_E
9C 0000 0001 0408 1234 5678 C0DE 00 00 | EEBB 0001 0408 1234 5678 C0DE 00 00 SBC_A_H
9C 00FF 0102 8001 4123 00FF 0001 00 00 | BEBB 0102 8001 4123 00FF 0001 00 00 SBC_A_H
9C FF28 FF7F 1020 8001 BEEF 1357 00 00 | 7F2A FF7F 1020 8001 BEEF 1357 00 00 SBC_A_H
9C 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3C3B 8040 AA55 FFFF 0F0F 8080 00 00 SBC_A_H
9C 8055 0F10 7F80 0001 1234 4321 00 00 | 7F3E 0F10 7F80 0001 1234 4321 00 00 SBC_A_H
9C 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0F0A C0F0 3CC3 00FF F00F 0FF0 00 00 SBC_A_H
9C 1093 55AA 2710 7FFF 8000 00C0 00 00 | 9093 55AA 2710 7FFF 8000 00C0 00 00 SBC_A_H
9D 0000 0001 0408 1234 5678 C0DE 00 00 | CC9B 0001 0408 1234 5678 C0DE 00 00 SBC_A_L
9D 00FF 0102 8001 4123 00FF 0001 00 00 | DC9B 0102 8001 4123 00FF 0001 00 00 SBC_A_L
9D FF28 FF7F 1020 8001 BEEF 1357 00 00 | FEAA FF7F 1020 8001 BEEF 1357 00 00 SBC_A_L
